Tamanho da Entrada,Número de Operações,Tempo de Execução (ms)
31.250.000,15.625.000,28.80
62.500.000,31.250.000,37.77
125.000.000,62.500.000,113.04
250.000.000,125.000.000,3236.01
500.000.000,250.000.000,57775.17
